market,return,sharpe,max_drawdown,trades,win_rate
United States,-0.0412,-0.28,-0.152,42,0.452
India,-0.012,-0.095,-0.098,38,0.473
China,0.142,1.12,-0.084,31,0.58
Brazil,-0.089,-0.61,-0.185,29,0.413
France,-0.114,-0.78,-0.211,35,0.371
United Kingdom,0.054,0.38,-0.112,36,0.5
Pooled Common Window,-0.0602,-0.376,-0.1359,211,0.464
