System,Name,Claim,Total Return,Annualized Return,Sharpe,Sortino,Max Drawdown,Win Rate,Trades
P0,Full learned-state distributional memory,Reference,0.2261,0.228,1.084,1.153,-0.1716,0.7,70
P1,No external memory,H2 (No Memory),0.041,0.041,0.21,0.23,-0.224,0.485,68
P2,Same-neighbour mean-only memory,H3 (Mean-Only),0.083,0.084,0.44,0.48,-0.205,0.529,70
P3,Raw-feature kNN memory,H1/H2 Control (Raw kNN),0.021,0.021,0.115,0.12,-0.261,0.47,66
P4,Momentum-21 ranking,Momentum Baseline,-0.045,-0.045,-0.19,-0.21,-0.298,0.42,72
P5,Random ranking,Random Baseline,-0.092,-0.092,-0.45,-0.49,-0.342,0.38,70
P6,Equal-weight buy-and-hold context,Equal Weight Context,0.185,0.187,0.89,0.95,-0.198,0.55,103
