date,ticker,market,outcome_future_63,dim_000,dim_001,dim_002,dim_003,dim_004,dim_005,dim_006,dim_007,dim_008,dim_009,dim_010,dim_011,dim_012,dim_013,dim_014,dim_015,dim_016,dim_017,dim_018,dim_019,dim_020,dim_021,dim_022,dim_023,dim_024,dim_025,dim_026,dim_027,dim_028,dim_029,dim_030,dim_031,dim_032,dim_033,dim_034,dim_035,dim_036,dim_037,dim_038,dim_039,dim_040,dim_041,dim_042,dim_043,dim_044,dim_045,dim_046,dim_047,dim_048,dim_049,dim_050,dim_051,dim_052,dim_053,dim_054,dim_055,dim_056,dim_057,dim_058,dim_059,dim_060,dim_061,dim_062,dim_063,dim_064,dim_065,dim_066,dim_067,dim_068,dim_069,dim_070,dim_071,dim_072,dim_073,dim_074,dim_075,dim_076,dim_077,dim_078,dim_079,dim_080,dim_081,dim_082,dim_083,dim_084,dim_085,dim_086,dim_087,dim_088,dim_089,dim_090,dim_091,dim_092,dim_093,dim_094,dim_095,dim_096,dim_097,dim_098,dim_099,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
2024-01-02,AAPL,US,-0.084968,2.507839,0.9615315,0.7522882,0.9544377,0.6152427,-1.2536211,0.707189,0.8938719,-0.43252617,0.59931546,1.3805231,-0.5429081,0.5804254,0.11089618,-1.8338927,0.66921806,-1.1902399,-0.4168211,1.1191764,1.2056539,0.77696896,-0.46713632,0.79711616,-1.0028028,-2.028882,0.35361758,-1.8026015,-0.21808216,-0.44493854,0.6277661,-1.2716252,-0.73901874,-0.5029432,1.2306622,-0.72900903,-0.58072317,0.4150445,0.26982805,-1.6657082,-1.0564127,-0.91197205,-1.3384353,-0.8967275,-0.25850925,0.55919516,0.24996154,-1.7967024,-0.2895892,0.9298864,1.3067523,1.8431844,0.68401647,0.7625532,-0.7115466,-0.7441488,1.3479096,-1.3247356,0.44939548,0.79661894,0.46492097,-1.7512141,0.78864694,0.1572914,0.009321333,0.9722114,-0.17581424,0.94504225,-1.2644836,-0.5424553,1.4887204,1.2029591,1.5332783,0.029430974,1.1295713,0.3287638,-0.56509703,-0.025884937,-0.90218735,0.524499,0.24779792,-0.09289121,0.81536204,-0.16300881,0.55788696,-0.6061094,0.52748436,-0.22240742,-0.19205134,0.047675487,0.75298685,0.232536,-0.23168443,-0.40708503,-1.0260265,-1.014293,-0.0087447865,0.9069522,1.1372212,0.23556171,1.1618848,-0.9072225,0.14944647,1.4982632,-0.0076400926,-2.54861,-0.66381335,0.80527836,-0.054846875,-0.3821997,-1.7378223,-0.7352216,0.0041834884,0.2365373,0.29525152,-1.1603619,0.3009278,1.0381215,-0.6310301,-1.7836959,0.7302016,1.1735946,-0.9980478,-1.2100968,0.490018,1.4587309,0.7226758,-1.5371251,1.0831428
2024-02-07,AAPL,US,-0.033983,0.48008487,-0.31036288,0.110150486,0.2980064,0.21584898,-0.58619153,0.05017059,-0.0960635,-0.005863656,-0.31605065,0.38144317,-0.23525986,0.031110749,0.53311694,-0.76076204,-0.1592313,-1.2488861,-0.53804153,-0.21676046,-0.27562582,1.1059294,-0.103088446,0.1344167,-0.5807763,0.1768592,-0.48858938,-0.81257373,-0.5319031,-0.20563532,0.3294381,-0.47960478,-0.41889915,-0.61743003,0.10590306,0.3818418,0.63844836,-0.9338202,0.89946973,-0.56013745,-0.19593602,0.16437802,0.044163335,-1.3131903,-0.12900142,0.05286789,0.5071127,-1.0769122,-0.31538352,0.20926376,0.9807059,0.42526937,0.920165,0.21071348,0.42791107,-0.6547224,-0.019627618,-0.9238239,0.47008818,1.5770944,-0.009233333,-0.515937,-0.55274326,0.2727024,-0.72994524,-0.35670334,-0.39657924,-0.44516516,-0.7495522,0.22719054,0.9885866,-0.001482936,-0.2676304,-0.43283793,0.8313714,0.39203772,-0.34955555,1.2818935,-0.14986897,0.76727176,0.9057992,0.0371954,-0.88150716,1.3409544,0.17489998,-0.44174448,0.60457146,-0.54960984,1.0416052,-0.11052747,0.9230155,-0.1640023,0.09726267,-0.49959752,-0.057407465,-0.15961403,0.015695909,0.6920287,0.4472435,0.05734002,0.34860268,-0.1626162,0.21864042,1.2064503,-0.70869946,0.18561018,-0.27798688,0.40685543,-0.057818074,-0.56546015,-0.6771263,-0.19548507,0.26439062,-1.0381279,-0.10134502,0.25351197,-0.18714298,0.22439133,0.58339024,0.06538232,-0.21391942,-0.03064923,-0.75787324,-1.01845,0.24126782,1.0030152,0.54978496,-1.0630661,0.055192772
2024-03-14,AAPL,US,0.240061,0.10589116,-0.7505265,-0.39223063,0.31340274,0.28726125,-0.29929823,-0.46247017,-0.4066915,0.19078374,-0.07147714,0.16036515,0.056754023,-0.04590137,0.4894249,-0.6561887,-0.5006416,-0.7704547,0.0665735,-0.56273556,-0.5769025,0.7936101,-0.23015414,0.24695067,-0.48538637,0.5053084,-0.24232052,-0.4842464,-0.8363557,-0.08541376,0.6883187,-0.7210171,-0.46075726,-0.5609191,-0.12847711,0.65243596,0.3483765,-1.1001794,1.1719118,-0.79776335,-0.24993114,0.686325,0.35129803,-0.7580251,-0.12288185,-0.04060295,0.3196017,-1.2066978,0.11410599,0.07407591,0.84988695,0.003955939,0.6662444,-0.10915028,-0.06730538,-0.16906656,-0.1287572,-0.90971553,0.3744717,1.9025115,-0.23186636,0.008016064,-0.65515167,0.23894028,-0.993115,-0.14154693,-0.8872904,-0.8369571,-0.32992217,0.6000249,0.9474276,0.35976434,-0.34700206,-0.6282002,0.690927,0.5353188,-0.4018747,1.0888793,0.3953337,0.61898994,1.0551231,0.35352182,-0.69353986,1.0347918,-0.0577641,-0.7465198,0.67189735,-0.56120336,0.8378514,0.17054103,1.1929777,-0.16505179,0.257089,-0.15232205,0.13141589,0.11761036,0.019144401,0.7290402,0.56574786,0.2607271,0.02148659,0.1334444,0.008879202,0.97632647,-0.8709855,0.4914532,-0.58320934,0.24445775,0.17477365,-0.8268159,-0.8989743,0.40140665,0.3683048,-1.1951602,-0.19440255,-0.117718086,-0.37069285,0.24320227,1.0127,-0.06390993,-0.42244202,-0.24228281,-1.1062728,-0.9264765,0.020368047,1.078686,0.69149595,-1.1880462,-0.30600843
2024-04-19,AAPL,US,0.359174,0.36500573,-0.6478812,-0.14681573,0.22649004,0.43382046,-0.5258285,-0.3257529,-0.30739275,0.40134528,0.16340418,0.56729513,-0.3183932,-0.16757984,1.0062405,-0.6776704,-0.54042983,-1.0494056,-0.04676661,-0.30265376,-0.71747184,0.8847902,-0.19007844,0.09415625,-0.532894,0.4611563,-0.49466717,-0.38243106,-0.85545623,0.033739578,0.546298,-0.3949265,-0.39595968,-0.5145734,0.1296993,0.80506986,0.6662919,-1.0167851,1.0994675,-0.7639346,-0.5786819,0.7042919,0.101266354,-1.435358,0.17608918,0.25213718,0.54430604,-1.3704959,0.055946544,0.298477,1.1138167,-0.00057039625,0.8106193,-0.13382496,0.075688295,-0.49086273,0.24858907,-1.045132,0.21937527,1.747177,-0.45066366,-0.33920878,-0.6310394,0.25251383,-0.9057193,-0.6436896,-0.7058624,-0.696441,-0.51928246,0.711053,0.9558428,0.17146343,-0.43884933,-0.49032703,1.0257664,0.5352751,-0.621083,1.185292,0.35445008,0.8519433,1.2993318,0.2809642,-0.63639224,1.1574767,0.21228503,-0.86923754,1.0156583,-0.66563594,1.0794423,0.34768638,0.87489444,-0.27403286,0.3589148,-0.5272296,0.13564399,-0.54075944,0.027257225,0.96978533,0.55754006,-0.03838907,0.10823871,0.09627664,0.18257448,0.9758069,-1.3428321,0.13046095,-0.3145411,0.45189127,0.0015521615,-0.31902245,-0.7199054,0.102939144,0.46673644,-1.3178353,0.062231567,-0.21800002,0.07411606,-0.22623816,0.84847194,0.008324082,-0.3385574,0.074551605,-1.0151744,-1.3522847,0.12358089,1.1220953,0.85405666,-1.2098585,-0.08619007
2024-05-24,AAPL,US,0.197194,0.18069209,-0.032384917,0.13171837,0.7081988,0.086808585,-0.56375974,0.058226913,0.2722584,-0.28450447,-0.043041866,0.3269732,0.22994934,0.6279055,0.49443066,-0.29673758,0.2205678,-0.69839925,-0.59342164,0.75656885,0.27984092,0.3996415,-0.64994395,-0.1506487,0.39629114,0.039760236,-0.62089676,-0.1245297,0.4113845,-0.7675174,-0.024878377,0.031500958,0.16309513,-0.20704864,-0.18832335,0.85545367,0.15803403,-0.39938158,0.7818517,0.33876255,-0.060248528,-0.25723618,-0.13311557,-0.8637059,-0.82461977,-0.92375475,-0.5849536,0.10499317,-0.41121212,0.55695945,0.233772,0.059956938,0.9637451,0.24554278,-0.031153679,-0.1410499,-0.024494968,-0.78841937,0.32580495,0.5035183,0.5937703,-0.27931285,-0.92551494,-0.29524815,0.41620475,-0.9400504,0.29847896,-0.10599758,-0.29301772,0.011575931,0.57038754,0.29708698,-0.95494354,0.96557456,0.26861006,0.5938766,0.96658134,0.47662818,-0.22385056,0.68140954,-0.0871046,-0.37922227,-0.8488513,0.98083895,-0.8256603,0.214664,0.30832523,-0.31289062,0.5726095,-0.34400442,0.15608358,-0.25090113,-0.56281334,-1.2996316,-0.4885764,0.33821583,-0.025346875,-0.056565262,0.26538834,-0.45739868,0.16041353,-0.54536676,0.4606406,-0.22779197,-0.3254079,0.6166041,0.416383,0.6235969,0.010127147,0.16341424,-0.05280386,0.20910469,0.077096954,-0.14306688,-1.0153588,0.03860569,-0.69689673,0.2681338,-0.42221636,0.72962034,0.7031958,-0.75940007,0.08682085,-0.15552346,0.085179344,0.451257,-0.6385441,-0.14542241,0.36703303
2024-07-02,AAPL,US,0.028156,0.2586736,-1.1693919,0.33650592,0.9219557,-0.8096047,-1.1555624,-0.22254913,-0.22136638,-0.1627496,2.2274377,1.8298867,0.2427979,0.11430095,1.6681315,-0.3958799,-1.5688894,0.44794247,0.2373171,0.9724,-0.06528777,-1.212007,-0.7874397,-0.21667838,0.8221653,0.051954847,-0.2720676,0.6140336,0.110068314,0.28547588,1.4499791,-0.20110628,0.32107258,-0.688923,0.0034329933,1.6394882,-0.34415728,0.76148874,1.0325594,-0.9832804,-2.171568,0.7103606,0.20695765,0.29267603,0.23812225,-0.09781197,0.76408654,-0.74005175,-1.5305963,0.4768871,-0.10828721,-0.44450668,0.7444024,-0.93812126,-1.0747315,-0.31243944,1.1648728,-2.1038275,0.27857307,0.20759276,1.4995675,-1.2972716,-0.55566776,0.41848657,-0.5728218,-1.2283938,0.913222,1.037516,0.17254502,0.18714795,0.96190333,0.9789293,-1.0742381,0.7108346,-0.4837083,1.0811597,0.24112833,-0.37579307,0.8708723,1.1096429,0.30788168,-0.33085033,0.717478,-0.5560524,-0.52752656,0.013056343,0.27614474,-1.1204089,1.0424148,0.7063453,-0.52888614,-1.1627975,0.8027963,-1.6703428,0.016145673,0.59297764,0.0317235,0.7078177,1.005765,-0.87603205,-0.8054762,-0.076936394,1.0113304,-0.31463593,-1.0028027,-0.46218514,-0.06954189,0.10647362,-0.27879798,0.14565457,-1.528271,1.3347241,1.1956493,-1.1760364,-0.26653805,-2.0411475,-0.18189599,0.1828961,-0.04406435,-1.1080437,0.53700036,-0.5359042,-0.17824809,-1.3803309,0.93316257,1.2437822,0.46896252,-0.9659067,1.3494802
2024-08-07,AAPL,US,0.066193,-1.1105226,-0.007961532,-0.089418836,0.42870057,-0.40683174,-0.5352667,-1.1254045,-0.047996867,-0.43879414,3.6127121,1.6812685,0.41607028,-0.5015617,1.159102,-0.24096014,-1.6070539,2.4817004,0.54986006,0.9977197,0.22913732,-3.0827675,-0.057080813,-0.5543995,0.92666537,0.14161892,1.8690857,1.1552303,0.3761837,0.9707398,0.867061,-0.6774013,0.36913744,0.61324394,1.0973778,0.8985197,-1.9682133,0.8625847,-0.13971704,-1.8423835,-2.0423574,0.6207567,-0.6851052,2.388804,0.7978424,0.73250633,0.03749968,-0.12990752,-1.7697552,1.0383085,-0.775894,-0.66960245,0.36071882,-0.285886,-2.2015822,-0.41724327,1.5146257,0.18685265,-0.7389553,-1.5463119,0.5052014,-0.8919305,1.2576325,-0.5464916,0.008247759,0.1639962,0.091625415,0.6203776,0.34733617,-0.21192251,0.36141574,1.4193006,1.0853808,1.2903534,-1.1408727,0.1905831,-0.14532079,-1.9344419,1.4784579,-0.31124243,-0.9622679,0.28189948,1.0774668,-1.7840438,0.24872343,-0.10626538,0.13072023,-0.11346413,-0.91140145,0.43872312,-0.93821543,-0.055059023,1.7956613,-0.04176189,0.4178626,1.4829673,0.03673488,-0.31264776,1.3926811,0.2045001,-0.77827865,0.16984963,0.29221052,-1.1147503,0.03171279,-2.0534713,-1.1674777,-0.47621772,0.34356177,-0.11678921,-1.6396023,1.7713511,1.3085911,-0.22617584,0.79013443,-2.709916,0.32384747,-0.5530936,0.52858406,-2.2356248,0.06991328,0.4934201,-0.24765785,-0.36212304,-0.1772908,0.38602465,0.75434196,-0.76793295,0.90406257
2024-09-12,AAPL,US,0.107695,-0.7048835,-1.0221221,0.29858723,-0.16781968,-1.6057695,-0.25263748,0.6922869,-0.07459397,0.19547157,0.85987246,-0.08350511,0.7834246,-0.8012482,0.026307033,0.81210876,-1.0655032,0.8482991,0.14300498,-0.014161403,0.22832516,-1.5521278,0.35633427,0.17835449,-0.079294495,0.3153387,-0.3108769,0.4369444,0.90413624,0.9067571,1.2077802,-0.4082249,1.0373954,-0.6244348,-0.68020594,0.4628797,0.2999121,1.262375,-0.21036218,0.5450751,-0.6671237,0.3379981,0.8922386,1.5640677,0.7803744,0.19592674,1.0056531,0.6266741,-0.65458465,-0.88735104,-1.0904642,-0.1273457,-0.70450234,-1.019405,0.62308073,0.27809814,-0.42149854,0.23089528,0.60215914,-1.1801059,1.5628749,-0.068023324,-0.091619864,0.9971497,-0.089676596,-0.27355787,1.3447363,1.8027333,1.5242677,-0.8143866,-0.97850716,-0.8558558,-0.84673566,-0.651533,-1.8572134,0.6652726,-0.10194473,-0.80967355,-0.12854536,0.40504098,-0.40252388,-0.49596596,0.94079924,-1.4704772,0.54757625,1.3156303,-1.1410197,0.41148174,0.17715056,0.30711582,-1.3015281,-1.100943,0.6035029,0.40773678,0.6469019,0.8570346,0.040672015,-0.77020895,-0.9744226,-0.8158668,-0.8567003,-0.17771251,0.8778944,0.0017297704,0.4927242,-0.1932988,0.76758754,-1.8483033,-0.9364524,-0.21343222,0.13330156,1.1991131,1.4215773,-0.11565164,0.27859548,-0.46949685,0.20455259,0.4271907,-0.36616337,-0.3531067,-0.8323299,-0.7138192,1.3922949,0.0522374,0.23005162,0.4781308,0.16067353,0.49796915,0.34010684
2024-10-17,AAPL,US,-0.03991,-0.030038834,1.1036383,0.74772257,0.54900897,0.57763255,-0.89280057,0.6235146,0.8519095,-1.108191,-0.47714737,0.058566295,-0.73022693,0.44387585,0.25472635,-0.62676364,0.93310595,-0.59087074,-1.0074933,0.5853173,1.3183208,1.0630456,-0.56991905,-0.16265991,-0.50668275,-0.54462785,-0.5115924,-0.9677205,1.1499754,-0.45019436,-1.3086221,-0.6462255,-0.093079224,-0.021637786,1.1963913,-0.36383232,-0.25574297,-1.0286778,-0.5321137,-0.56195796,-0.29392418,-1.4354289,-1.0713502,-1.1445131,-0.08447907,0.36516935,0.9402278,-0.35164788,-0.1267173,0.030758673,1.386371,0.8488144,1.1247052,1.732374,0.3290481,-1.0594014,0.53314954,0.18262766,0.43091926,0.49713367,-0.36260232,-0.64834356,0.32510984,-0.6381792,0.6116474,-0.33382645,-0.023207178,-0.5075548,-1.5259533,-0.07488424,0.43563226,-0.20164025,0.72190446,0.31260717,1.529539,-0.28634214,0.113270245,1.2479092,-0.36255983,0.91593915,-0.23488708,-0.7733917,-1.242138,1.5633463,0.53341734,0.018357003,0.032713845,0.08557123,0.01654692,-1.536915,1.0872396,0.27478695,-0.34019843,-0.6473011,-0.750032,0.30887496,-0.0170394,-1.1068383,-0.19414498,0.04280811,0.62712413,-1.042918,0.4014937,1.9693215,-0.12012804,-0.2909708,0.32183555,0.79530674,0.0010593634,1.1050043,-0.58058155,-0.5320308,-0.76930857,0.27372304,0.26019928,1.2109238,0.46795347,-0.8911206,-0.6509981,0.3419654,0.6419924,0.61256987,-0.22505328,-0.027448688,-0.10009702,0.035986617,0.06684749,-0.2997934,0.77771807
2024-11-21,AAPL,US,0.052968,0.011878195,-0.55083007,0.14620452,-0.011509059,-0.17399849,-0.3588916,0.38203388,-0.048842743,0.08479974,-0.6621401,-0.25545248,0.22942182,-0.295614,0.25040865,-0.06430154,-0.10894201,-0.85156345,-0.15887138,-0.7021259,-0.12329885,1.3315276,-0.14364208,0.12222448,-0.88863146,0.3493135,-0.88106894,-0.8271561,0.07838063,0.086667985,0.31371292,-0.8947485,0.17683911,-0.9232068,-0.32583347,0.23328635,0.7843896,-0.7277356,0.6134561,0.12141856,0.49959302,0.12534897,0.6635556,-0.91115767,0.048949912,0.07936549,0.64832264,-0.6548779,0.052755155,-0.45618647,0.854031,0.33352312,0.2803338,-0.0109153185,0.7735564,-0.14138423,-0.3012686,-0.5689055,0.837399,1.3725178,-0.25372148,0.14363208,-0.6360972,0.64154327,-0.7726994,-0.49192694,-0.0587517,-0.35449812,-0.2511871,-0.17924345,0.3350402,-0.6660941,-0.19992554,-0.9725613,0.8474118,0.5032583,-0.52613,1.2428975,-0.32309896,0.72928196,0.60026795,-0.09248449,-1.0218874,1.0401361,0.59731567,0.088030696,0.12198812,-0.09300727,0.9504108,0.0545264,0.59541756,-0.30836752,0.11044384,0.011176174,0.18960883,-0.13707516,0.01958024,0.115837574,-0.34815615,-0.013098171,0.4372847,-0.27365446,0.21277128,1.2426451,-0.5343672,0.46125916,0.10250188,-0.3777177,-0.35391632,-0.1713757,-0.062290527,-0.028037254,0.45800516,-0.61664534,-0.005061254,1.0734541,-0.14889503,-0.17077631,0.45503834,0.70030373,-0.53103083,-0.27736965,-0.3372044,-0.38479024,0.067444384,0.50762147,0.5015423,-0.4088825,-0.3815327
