candidate,total_return,annualized_return,sharpe,sortino,max_drawdown,calmar,exposure,trade_count,execution_count,rebalance_count,win_rate,average_trade_return,median_trade_return,profit_factor,average_holding_days,turnover,capital_efficiency,equal_weight_baseline_return,topology,market,coverage,nominal_coverage,realized_coverage,reliability_threshold,useful_alpha_threshold,mean_seed_vote_fraction,mean_seed_rank_std,mean_neighbor_overlap,reliability_row_count,reliability_useful_trade_rate,reliability_brier,reliability_brier_skill,reliability_confidence_brier,reliability_log_loss,reliability_roc_auc,reliability_average_precision,reliability_expected_calibration_error,reliability_reliability_alpha_spearman,reliability_reliability_negative_error_spearman,reliability_top_quartile_realized_alpha,reliability_bottom_quartile_realized_alpha,reliability_top_bottom_alpha_spread,reliability_direction_accuracy,reliability_interval_coverage,reliability_mean_prediction_error,reliability_mean_predicted_error,reliability_mean_shift_score
regional_regional__coverage_100,0.2785759608784182,0.27982839107756186,1.3794531329241568,1.8907874657203956,-0.11111380882396371,2.5183943745542074,0.9120769942012553,55,55,0,0.6545454545454545,0.014465504674227345,0.016289909244796785,1.8455838896725165,12.709090909090909,20.633667668920783,0.30543031196875986,0.3180133915467731,regional_regional,US,coverage_100,1.0,1.0,-inf,0.002,0.2778512639623751,0.11909242270131154,0.02460023660115563,4536.0,0.48037918871252205,0.25441514099936324,-0.019227894024886227,0.2827255338393822,0.7505375401059003,0.5504282304397105,0.5338558603472907,0.08862260725945466,0.10032518544875255,0.023767084980653417,0.025059644538010774,-0.006119798023236395,0.03117944256124717,0.5701058201058201,0.1300705467372134,0.11761781049779466,0.10123586422888961,0.6839694436254176
regional_regional__coverage_100,-0.005094813040573243,-0.005239997085888293,0.04034894487494622,0.05547782238797271,-0.13434629818737842,-0.039003658132655425,0.9250441225239937,55,55,0,0.6363636363636364,0.00045524524065495463,0.005776261339473843,0.9859281237195253,12.581818181818182,18.65222431327443,-0.005507643275081826,0.17042431711565031,regional_regional,India,coverage_100,1.0,1.0,-inf,0.004,0.34161397169527247,0.1309293957706939,0.03140444256546476,4428.0,0.46296296296296297,0.2531785515256917,-0.018301170008447665,0.28275518916172415,0.7969296916471011,0.5468432172967651,0.49171346441681185,0.05089839689178728,0.0823055139222437,0.03500585294429074,0.014186119884698258,0.002252268924924528,0.01193385095977373,0.5431345980126467,0.14385727190605238,0.09357067043123556,0.06845816115941736,0.710617278572012
regional_regional__coverage_100,0.353402598158431,0.3722263320712269,1.417744500233745,2.79951233287056,-0.1450877680946766,2.5655252469548757,0.9528104276536051,46,46,0,0.6086956521739131,0.022412312546635088,0.01678138164919718,1.9637652372366148,15.173913043478262,17.512744451779177,0.37090546860273316,0.17879546020138726,regional_regional,China,coverage_100,1.0,1.0,-inf,0.004,0.4705387205387206,0.16031107616302312,0.082336324635945,4356.0,0.4671717171717172,0.37551926125215823,-0.5085227899541593,0.2777143230853835,3.309868516275003,0.4567277512128869,0.44639545902825534,0.3183042103372454,-0.08179710775657552,0.10287108342810808,0.002391808798928144,0.05188909833000062,-0.04949728953107248,0.5264003673094583,0.1522038567493113,0.13477341474373478,0.07357235585212255,1.2301409177409641
regional_regional__coverage_100,-0.31293223578601426,-0.3149921168844062,-1.8761613034859679,-2.222272619216616,-0.31455988838272875,-1.0013740738016526,0.665892334685251,42,42,0,0.3333333333333333,-0.025950916412663196,-0.01057536614577903,0.29659211563211185,11.904761904761905,12.193496194273083,-0.469944192906093,-0.14046837511912347,regional_regional,Brazil,coverage_100,1.0,1.0,-inf,0.003,0.2351482957060646,0.13180230740661883,0.04097805000510203,3765.0,0.4547144754316069,0.29381349796861306,-0.184776385609023,0.2652376623191753,1.1281655812508313,0.4681232103919043,0.4401037287485269,0.2287457634098969,-0.09790813958887175,-0.021522555210135994,-0.004555901603549312,0.022656705705894762,-0.027212607309444074,0.5054448871181939,0.1248339973439575,0.13466408962504034,0.09470855277962965,0.8481489029974915
regional_regional__coverage_100,-0.1323059580972833,-0.13085604492231473,-0.40647715654639355,-0.5931099273177857,-0.3352231828001646,-0.39035499821121106,0.9787041647295585,38,38,0,0.4473684210526316,-0.009163108875086244,-0.015137373397196285,0.7334396381517706,20.05263157894737,10.582960694726985,-0.13518483201084863,-0.037308999784256835,regional_regional,France,coverage_100,1.0,1.0,-inf,0.004,0.6920189950980393,0.12330784885796972,0.07369915541968984,4352.0,0.45197610294117646,0.24981135556006648,-0.007625389477709854,0.2777002563631662,0.7013023711489245,0.5082291776577683,0.45676003200892246,0.08744076359821128,-0.010444291534504572,0.00035255283781145477,-0.006460957906793004,-0.00439953062237442,-0.0020614272844185844,0.40188419117647056,0.1171875,0.11762731789057523,0.09153179820334467,0.8334327679550232
regional_regional__coverage_100,-0.31419254140716046,-0.3131694152769492,-0.288339176918849,-0.40387805418563427,-0.39667119428413544,-0.789493716180021,0.9820120073344205,49,49,0,0.3877551020408163,-0.021327598019073597,-0.013605685954355407,0.42610320430716186,15.428571428571429,13.773483431571053,-0.3199477593558216,-0.04404860734365357,regional_regional,UK,coverage_100,1.0,1.0,-inf,0.005,0.6615693543404387,0.1359411476849083,0.057530930528488754,4316.0,0.4453197405004634,0.26166508817620454,-0.059184199539426885,0.2778606948484022,0.7226228181444667,0.5362792386794248,0.4682650798110828,0.11224439518613284,0.11562198853238828,0.2557635117130011,0.007644352479942057,-0.03674252909245989,0.04438688157240195,0.4221501390176089,0.13415199258572752,0.11765558349320922,0.09295951391856513,0.6996173554207004
regional_regional__coverage_075,0.2549870845161213,0.2561232131891227,1.2861837495794242,1.7611509048502112,-0.11111380882396371,2.3050529533633,0.9071174293376822,54,54,0,0.6666666666666666,0.013661353249237005,0.01611071111073714,1.7822991002869981,12.87037037037037,20.110414905295404,0.2810960039675306,0.3180133915467731,regional_regional,US,coverage_075,0.75,0.9925044091710759,0.364625850340136,0.002,0.2778512639623751,0.11909242270131154,0.02460023660115563,4536.0,0.48037918871252205,0.25441514099936324,-0.019227894024886227,0.2827255338393822,0.7505375401059003,0.5504282304397105,0.5338558603472907,0.08862260725945466,0.10032518544875255,0.023767084980653417,0.025059644538010774,-0.006119798023236395,0.03117944256124717,0.5701058201058201,0.1300705467372134,0.11761781049779466,0.10123586422888961,0.6839694436254176
regional_regional__coverage_075,0.06723812384505257,0.06922424335664412,0.5361715746253835,0.7888555155760631,-0.11497979460694518,0.6020557228623084,0.936289267819339,56,56,0,0.6071428571428571,0.004229984463681312,0.006073816132027954,1.2140466077537777,12.571428571428571,19.792499927691104,0.0718134086932912,0.17042431711565031,regional_regional,India,coverage_075,0.75,0.6682475158084914,0.4027777777777778,0.004,0.34161397169527247,0.1309293957706939,0.03140444256546476,4428.0,0.46296296296296297,0.2531785515256917,-0.018301170008447665,0.28275518916172415,0.7969296916471011,0.5468432172967651,0.49171346441681185,0.05089839689178728,0.0823055139222437,0.03500585294429074,0.014186119884698258,0.002252268924924528,0.01193385095977373,0.5431345980126467,0.14385727190605238,0.09357067043123556,0.06845816115941736,0.710617278572012
regional_regional__coverage_075,0.4018718338896432,0.4236542862452919,1.60360735937694,3.207444393578452,-0.1450877680946766,2.919986238735422,0.9287582262117531,46,46,0,0.6086956521739131,0.02460413335158201,0.016759303828226768,2.1245612556616518,14.804347826086957,17.589797580828165,0.43269800745540643,0.17879546020138726,regional_regional,China,coverage_075,0.75,0.9031221303948577,0.43320610687022904,0.004,0.4705387205387206,0.16031107616302312,0.082336324635945,4356.0,0.4671717171717172,0.37551926125215823,-0.5085227899541593,0.2777143230853835,3.309868516275003,0.4567277512128869,0.44639545902825534,0.3183042103372454,-0.08179710775657552,0.10287108342810808,0.002391808798928144,0.05188909833000062,-0.04949728953107248,0.5264003673094583,0.1522038567493113,0.13477341474373478,0.07357235585212255,1.2301409177409641
regional_regional__coverage_075,-0.29457891065657604,-0.29654547636984774,-1.8124573141053617,-2.0454366945784175,-0.29582992748965287,-1.002418784624892,0.5604061265099654,43,43,0,0.4186046511627907,-0.023284178674131954,-0.008355645851491067,0.35541958029964,9.906976744186046,12.850826346856426,-0.5256525521787595,-0.14046837511912347,regional_regional,Brazil,coverage_075,0.75,0.6329349269588314,0.4560085836909871,0.003,0.2351482957060646,0.13180230740661883,0.04097805000510203,3765.0,0.4547144754316069,0.29381349796861306,-0.184776385609023,0.2652376623191753,1.1281655812508313,0.4681232103919043,0.4401037287485269,0.2287457634098969,-0.09790813958887175,-0.021522555210135994,-0.004555901603549312,0.022656705705894762,-0.027212607309444074,0.5054448871181939,0.1248339973439575,0.13466408962504034,0.09470855277962965,0.8481489029974915
