security,session,classification,original_open,original_high,original_low,original_close,corrected_high,corrected_low,violations,max_abs_violation,max_rel_violation,reason
Brazil_B3SA3.SA,2013-04-17,MATERIAL_DISCREPANCY,2.619658523001015,2.655381104381749,2.556151427759649,2.542259454727173,2.655381104381749,2.556151427759649,low > close,0.013891973032476024,0.00546441985165785,Material discrepancy exceeding 4 ULPs; rejected
Brazil_B3SA3.SA,2013-11-11,MATERIAL_DISCREPANCY,2.4286772949355133,2.4307353470722792,2.4080955958556145,2.3875131607055664,2.4307353470722792,2.4080955958556145,low > close,0.020582435150048095,0.008620867724961775,Material discrepancy exceeding 4 ULPs; rejected
Brazil_B3SA3.SA,2014-01-21,MATERIAL_DISCREPANCY,2.054462603428401,2.054462603428401,2.0482243620762204,2.044065237045288,2.054462603428401,2.0482243620762204,low > close,0.004159125030932298,0.002034732040619381,Material discrepancy exceeding 4 ULPs; rejected
Brazil_B3SA3.SA,2014-05-19,MATERIAL_DISCREPANCY,2.4557885279968903,2.474503243788935,2.4453919098619967,2.4391536712646484,2.474503243788935,2.4453919098619967,low > close,0.006238238597348289,0.0025575422618263725,Material discrepancy exceeding 4 ULPs; rejected
Brazil_B3SA3.SA,2014-11-17,MATERIAL_DISCREPANCY,2.104700154039744,2.138818715539268,2.0705809824494894,2.057786464691162,2.138818715539268,2.0705809824494894,low > close,0.012794517758327295,0.006217611971826984,Material discrepancy exceeding 4 ULPs; rejected
Brazil_ITUB4.SA,2013-05-20,MATERIAL_DISCREPANCY,6.811385173239053,6.963835492609266,6.766431986912923,6.314945697784424,6.963835492609266,6.766431986912923,low > close,0.451486289128499,0.0714948806744136,Material discrepancy exceeding 4 ULPs; rejected
Brazil_ITUB4.SA,2013-12-20,MATERIAL_DISCREPANCY,6.970377515325865,6.996516184310728,6.8505741077280575,6.826613426208496,6.996516184310728,6.8505741077280575,low > close,0.023960681519561433,0.003509892830253493,Material discrepancy exceeding 4 ULPs; rejected
Brazil_KLBN11.SA,2014-08-11,MATERIAL_DISCREPANCY,5.949342822874669,5.98676070380263,5.9226165741462315,5.895889759063721,5.98676070380263,5.9226165741462315,low > close,0.026726815082510846,0.004533126665305072,Material discrepancy exceeding 4 ULPs; rejected
Brazil_PETR4.SA,2014-04-02,MATERIAL_DISCREPANCY,3.6832163536338243,3.8918773218901133,3.6808717956154777,3.6480488777160645,3.8918773218901133,3.6808717956154777,low > close,0.03282291789941327,0.00899738983759525,Material discrepancy exceeding 4 ULPs; rejected
Brazil_RADL3.SA,2014-01-21,MATERIAL_DISCREPANCY,2.2903574179109123,2.2903574179109123,2.2871039918744565,2.2936110496520996,2.2903574179109123,2.2871039918744565,high < close,0.003253631741187313,0.0014185629868154112,Material discrepancy exceeding 4 ULPs; rejected
Brazil_RENT3.SA,2013-09-30,MATERIAL_DISCREPANCY,7.439904151524588,7.517150743545869,7.283205640613897,7.267756462097168,7.517150743545869,7.283205640613897,low > close,0.015449178516728779,0.0021257149434353497,Material discrepancy exceeding 4 ULPs; rejected
Brazil_RENT3.SA,2013-12-30,MATERIAL_DISCREPANCY,7.593170586356568,7.686716293926663,7.574917412650312,7.572636127471924,7.686716293926663,7.574917412650312,low > close,0.002281285178388437,0.00030125376949150065,Material discrepancy exceeding 4 ULPs; rejected
Brazil_RENT3.SA,2016-04-19,MATERIAL_DISCREPANCY,7.835664465904795,8.158661268501024,7.835664465904795,7.771065711975098,8.158661268501024,7.835664465904795,low > close,0.0645987539296975,0.008312727793583288,Material discrepancy exceeding 4 ULPs; rejected
Brazil_TOTS3.SA,2013-03-05,MATERIAL_DISCREPANCY,11.405213977346017,11.594950014549614,11.405213977346017,11.378862380981445,11.594950014549614,11.405213977346017,low > close,0.02635159636457196,0.0023158375136530206,Material discrepancy exceeding 4 ULPs; rejected
Brazil_TOTS3.SA,2014-03-14,MATERIAL_DISCREPANCY,8.722342628538843,8.837710288565322,8.572096301904116,8.424532890319824,8.837710288565322,8.572096301904116,low > close,0.14756341158429187,0.01751591613510691,Material discrepancy exceeding 4 ULPs; rejected
Brazil_WEGE3.SA,2013-07-30,MATERIAL_DISCREPANCY,3.1827713873453387,3.19636793300047,3.1533112920089277,3.14424729347229,3.19636793300047,3.1533112920089277,low > close,0.00906399853663764,0.002882724445833262,Material discrepancy exceeding 4 ULPs; rejected
Brazil_WEGE3.SA,2013-12-17,MATERIAL_DISCREPANCY,3.5893842020197675,3.6191242780870185,3.563076070262385,3.552781343460083,3.6191242780870185,3.563076070262385,low > close,0.010294726802301923,0.002897652798490493,Material discrepancy exceeding 4 ULPs; rejected
China_000725.SZ,2024-03-29,MATERIAL_DISCREPANCY,3.9272867112953804,3.937007940594485,3.907844716230897,3.9467287063598633,3.937007940594485,3.907844716230897,high < close,0.009720765765378392,0.0024629931491653057,Material discrepancy exceeding 4 ULPs; rejected
China_002415.SZ,2024-03-29,MATERIAL_DISCREPANCY,29.28169941768963,29.525563473624327,29.064933664922915,29.0468692779541,29.525563473624327,29.064933664922915,low > close,0.018064386968813295,0.0006219047841594324,Material discrepancy exceeding 4 ULPs; rejected
China_600036.SS,2019-01-07,MATERIAL_DISCREPANCY,17.76206721287731,18.40052556635969,18.142273502539922,18.307268142700195,18.40052556635969,18.142273502539922,low > open,0.3802062896626133,0.02076805161201596,Material discrepancy exceeding 4 ULPs; rejected
China_600196.SS,2019-01-07,MATERIAL_DISCREPANCY,18.954022433587024,19.96551172404875,19.59189890719008,19.819711685180664,19.96551172404875,19.59189890719008,low > open,0.6378764736030575,0.032183943123653115,Material discrepancy exceeding 4 ULPs; rejected
China_600276.SS,2019-01-07,MATERIAL_DISCREPANCY,28.311391227113834,30.664107397699617,29.77480267556033,30.151914596557617,30.664107397699617,29.77480267556033,low > open,1.4634114484464966,0.04853461108614215,Material discrepancy exceeding 4 ULPs; rejected
China_600309.SS,2019-01-07,MATERIAL_DISCREPANCY,22.262496515661326,23.68211142295445,23.24720029856316,23.591846466064453,23.68211142295445,23.24720029856316,low > open,0.9847037829018355,0.041739156971807044,Material discrepancy exceeding 4 ULPs; rejected
China_600519.SS,2019-01-07,MATERIAL_DISCREPANCY,489.7824731698186,508.98076298393363,502.2421535368251,504.96929931640625,508.98076298393363,502.2421535368251,low > open,12.459680367006513,0.024674134415445845,Material discrepancy exceeding 4 ULPs; rejected
