market,seed,system,system_name,claim,total_return,annualized_return,sharpe,sortino,max_drawdown,win_rate,trade_count,final_equity
China,7,P2,Same-neighbour mean-only memory,H3 (Mean-Only),0.411,0.411,1.479,2.381,-0.1238,0.6111,36,141102.64
China,7,P3,Raw-feature kNN memory,H1/H2 Control,0.0471,0.0471,0.313,0.473,-0.2158,0.5278,36,104709.12
China,7,P4,Momentum-21 ranking,Momentum Baseline,0.2402,0.2402,0.902,1.489,-0.1476,0.5833,36,124019.99
China,7,P5,Random ranking,Random Baseline,0.1883,0.1883,0.798,1.263,-0.1633,0.5556,36,118825.47
China,7,P6,Equal-weight buy-and-hold context,Equal Weight Context,0.1691,0.1691,0.772,1.36,-0.1278,0.7222,18,116913.08
China,17,P0,Full learned-state distributional memory,Reference,0.1256,0.1256,0.622,0.967,-0.1669,0.5278,36,112558.25
China,17,P1,No external memory,H2 (No Memory),-0.0371,-0.0371,-0.033,-0.052,-0.2631,0.4722,36,96290.75
China,17,P2,Same-neighbour mean-only memory,H3 (Mean-Only),0.088,0.088,0.475,0.752,-0.174,0.5278,36,108798.99
China,17,P3,Raw-feature kNN memory,H1/H2 Control,-0.0063,-0.0063,0.096,0.157,-0.2131,0.5,36,99371.81
China,17,P4,Momentum-21 ranking,Momentum Baseline,0.2402,0.2402,0.902,1.489,-0.1476,0.5833,36,124019.99
China,17,P5,Random ranking,Random Baseline,0.3627,0.3627,1.1,2.274,-0.2033,0.5278,36,136272.0
China,17,P6,Equal-weight buy-and-hold context,Equal Weight Context,0.1691,0.1691,0.772,1.36,-0.1278,0.7222,18,116913.08
China,37,P0,Full learned-state distributional memory,Reference,0.0956,0.0956,0.499,0.805,-0.1631,0.5556,36,109556.41
China,37,P1,No external memory,H2 (No Memory),0.0949,0.0949,0.491,0.728,-0.1883,0.5556,36,109486.69
China,37,P2,Same-neighbour mean-only memory,H3 (Mean-Only),0.0956,0.0956,0.499,0.805,-0.1631,0.5556,36,109556.41
China,37,P3,Raw-feature kNN memory,H1/H2 Control,0.093,0.093,0.475,0.76,-0.193,0.5833,36,109297.84
China,37,P4,Momentum-21 ranking,Momentum Baseline,0.2402,0.2402,0.902,1.489,-0.1476,0.5833,36,124019.99
China,37,P5,Random ranking,Random Baseline,0.2394,0.2394,1.02,1.822,-0.1344,0.4722,36,123940.82
China,37,P6,Equal-weight buy-and-hold context,Equal Weight Context,0.1691,0.1691,0.772,1.36,-0.1278,0.7222,18,116913.08
Brazil,7,P0,Full learned-state distributional memory,Reference,-0.1067,-0.1051,-0.41,-0.673,-0.2927,0.3333,36,89329.9
Brazil,7,P1,No external memory,H2 (No Memory),-0.1384,-0.1363,-0.483,-0.758,-0.2046,0.3056,36,86163.99
Brazil,7,P2,Same-neighbour mean-only memory,H3 (Mean-Only),-0.0249,-0.0245,-0.019,-0.033,-0.2302,0.3611,36,97512.1
Brazil,7,P3,Raw-feature kNN memory,H1/H2 Control,-0.0314,-0.0309,-0.053,-0.088,-0.1893,0.3611,36,96856.2
Brazil,7,P4,Momentum-21 ranking,Momentum Baseline,-0.1911,-0.1884,-1.004,-1.557,-0.2324,0.3889,36,80889.0
Brazil,7,P5,Random ranking,Random Baseline,-0.066,-0.065,-0.227,-0.36,-0.1426,0.3889,36,93402.66
Brazil,7,P6,Equal-weight buy-and-hold context,Equal Weight Context,-0.1275,-0.1256,-0.8,-1.277,-0.1468,0.2667,15,87254.12
Brazil,17,P0,Full learned-state distributional memory,Reference,-0.1963,-0.1935,-0.891,-1.164,-0.2727,0.3333,36,80372.85
Brazil,17,P1,No external memory,H2 (No Memory),-0.1924,-0.1897,-0.825,-1.107,-0.2159,0.3333,36,80758.06
Brazil,17,P2,Same-neighbour mean-only memory,H3 (Mean-Only),-0.11,-0.1083,-0.517,-0.678,-0.1974,0.3611,36,89001.14
Brazil,17,P3,Raw-feature kNN memory,H1/H2 Control,-0.0413,-0.0406,-0.101,-0.147,-0.157,0.4167,36,95872.1
Brazil,17,P4,Momentum-21 ranking,Momentum Baseline,-0.1911,-0.1884,-1.004,-1.557,-0.2324,0.3889,36,80889.0
Brazil,17,P5,Random ranking,Random Baseline,-0.2667,-0.2631,-1.261,-1.781,-0.2849,0.3889,36,73326.57
Brazil,17,P6,Equal-weight buy-and-hold context,Equal Weight Context,-0.1275,-0.1256,-0.8,-1.277,-0.1468,0.2667,15,87254.12
Brazil,37,P0,Full learned-state distributional memory,Reference,-0.0464,-0.0457,-0.151,-0.239,-0.1889,0.4167,36,95363.08
Brazil,37,P1,No external memory,H2 (No Memory),-0.0037,-0.0036,0.095,0.154,-0.1807,0.4167,36,99630.06
Brazil,37,P2,Same-neighbour mean-only memory,H3 (Mean-Only),-0.0152,-0.015,0.018,0.028,-0.1512,0.4444,36,98478.26
Brazil,37,P3,Raw-feature kNN memory,H1/H2 Control,0.0566,0.0557,0.355,0.619,-0.1552,0.4444,36,105657.77
Brazil,37,P4,Momentum-21 ranking,Momentum Baseline,-0.1911,-0.1884,-1.004,-1.557,-0.2324,0.3889,36,80889.0
Brazil,37,P5,Random ranking,Random Baseline,-0.1597,-0.1574,-0.819,-1.189,-0.2344,0.4167,36,84032.42
Brazil,37,P6,Equal-weight buy-and-hold context,Equal Weight Context,-0.1275,-0.1256,-0.8,-1.277,-0.1468,0.2667,15,87254.12
France,7,P0,Full learned-state distributional memory,Reference,-0.1595,-0.1583,-0.611,-0.763,-0.2382,0.5278,36,84053.97
France,7,P1,No external memory,H2 (No Memory),-0.1951,-0.1937,-0.812,-1.069,-0.2307,0.5833,36,80488.92
France,7,P2,Same-neighbour mean-only memory,H3 (Mean-Only),-0.1595,-0.1583,-0.611,-0.763,-0.2382,0.5278,36,84053.97
France,7,P3,Raw-feature kNN memory,H1/H2 Control,-0.1912,-0.1898,-0.683,-0.856,-0.2725,0.4444,36,80882.16
France,7,P4,Momentum-21 ranking,Momentum Baseline,-0.1908,-0.1895,-1.034,-1.397,-0.2006,0.4444,36,80918.55
France,7,P5,Random ranking,Random Baseline,0.0979,0.0971,0.551,0.691,-0.1572,0.6389,36,109788.74
France,7,P6,Equal-weight buy-and-hold context,Equal Weight Context,-0.0584,-0.058,-0.349,-0.537,-0.1308,0.4118,17,94156.29
France,17,P0,Full learned-state distributional memory,Reference,-0.184,-0.1827,-0.768,-1.083,-0.2784,0.5,36,81598.49
France,17,P1,No external memory,H2 (No Memory),-0.206,-0.2045,-0.922,-1.249,-0.2801,0.4167,36,79402.48
France,17,P2,Same-neighbour mean-only memory,H3 (Mean-Only),-0.1913,-0.1899,-0.83,-1.151,-0.2787,0.5,36,80874.66
France,17,P3,Raw-feature kNN memory,H1/H2 Control,-0.272,-0.2702,-1.242,-1.692,-0.3211,0.3611,36,72800.84
France,17,P4,Momentum-21 ranking,Momentum Baseline,-0.1908,-0.1895,-1.034,-1.397,-0.2006,0.4444,36,80918.55
France,17,P5,Random ranking,Random Baseline,0.0174,0.0172,0.184,0.262,-0.1278,0.5278,36,101735.9
France,17,P6,Equal-weight buy-and-hold context,Equal Weight Context,-0.0584,-0.058,-0.349,-0.537,-0.1308,0.4118,17,94156.29
France,37,P0,Full learned-state distributional memory,Reference,-0.2959,-0.294,-1.423,-1.847,-0.3613,0.3889,36,70410.25
France,37,P1,No external memory,H2 (No Memory),-0.2411,-0.2394,-1.009,-1.324,-0.3252,0.4167,36,75893.75
France,37,P2,Same-neighbour mean-only memory,H3 (Mean-Only),-0.1958,-0.1945,-0.903,-1.223,-0.284,0.4167,36,80417.72
France,37,P3,Raw-feature kNN memory,H1/H2 Control,-0.3066,-0.3046,-1.394,-1.853,-0.3772,0.3333,36,69344.24
