year,Brazil,China,France,India,UK,US,Total
2013,0,0,48,0,16,0,64
2014,3172,3988,4096,4320,4048,4536,24160
2015,3425,4392,4215,4428,4048,4536,25044
2016,3667,4392,4369,4428,4248,4536,25640
2017,3810,4392,4335,4464,4284,4518,25803
2018,3690,4374,4335,4428,4301,4518,25646
2019,3720,4356,4352,4374,4301,4536,25639
2020,1830,2106,2227,2250,2176,2286,12875
Total,23314,28000,27977,28692,27422,29466,164871
