w_cvar,kernel_bandwidth,annualized_return,sharpe_ratio,max_drawdown,tail_cvar_05,calmar_ratio
0.0,tau=0.08,0.0385,0.252,-0.188,-0.094,0.2
0.1,tau=0.08,0.0378,0.264,-0.161,-0.085,0.23
0.2,tau=0.08,0.0366,0.27,-0.142,-0.076,0.26
0.4,tau=0.08,0.0298,0.231,-0.131,-0.071,0.23
0.2,tau=0.04,0.0342,0.255,-0.151,-0.079,0.23
0.2,tau=0.16,0.0358,0.265,-0.145,-0.078,0.25
0.2,Uniform (1/25),0.0321,0.241,-0.164,-0.086,0.2
