tail_cutoff_alpha,tail_sample_size,tail_weighting,ann_return,sharpe
0.05 (Contract Baseline),~2 neighbors,Unweighted,+0.96%,0.15
0.10 (Moderate Tail),~3 neighbors,Unweighted,+1.12%,0.162
0.20 (Broad Tail),~5 neighbors,Unweighted,+1.45%,0.178
0.05 (Kernel-Weighted),~2 neighbors,Nadaraya-Watson,+1.38%,0.174
