patch_length_P,num_patches_Np,configuration,annualized_return,return_se,sharpe_ratio,sharpe_se,sortino_ratio,max_drawdown,trades_per_cell
1,252,P=1 (Daily Token Baseline),0.0085,0.0382,0.082,0.185,0.112,-0.2216,18.1
3,84,P=3 (Bi-daily Patching),0.0212,0.0415,0.174,0.192,0.231,-0.2155,17.5
6,42,"P=6 (Weekly Macro-Patch, Champion)",0.0354,0.0485,0.271,0.205,0.356,-0.1740,18.7
12,21,P=12 (Bi-weekly Patching),0.0268,0.0432,0.215,0.198,0.288,-0.2010,17.4
21,12,P=21 (Monthly Macro-Patching),0.0145,0.0394,0.118,0.189,0.154,-0.2180,16.7
