name,same_ticker_pct,gini_hubness,ann_return,sharpe,max_dd,desc
Self-Retrieval Allowed (Unmasked),38.4,0.612,0.0215,0.178,-0.194,Allows matching same asset's past path; memorizes asset level rather than regime
Global Unconstrained (P0),0.0,0.763,0.0096,0.15,-0.185,Cross-market retrieval across 6 sovereign markets; introduces cross-currency noise
Domestic Universe Guardrail (P0*),0.0,0.703,0.0366,0.27,-0.142,Partitions queries strictly within domestic equity sovereign domain (Core-RL Champion)
"Pure Parametric Backbone (P1, No Memory)",0.0,0.0,0.035,0.268,-0.174,Ablated baseline with zero external episodic memory
