path_id,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,trades,median_hold
1,0.10118333333333333,0.5715,0.8734999999999999,-0.14713333333333334,15.333333333333334,47.583333333333336
2,0.04775000000000001,0.3908333333333333,0.6981666666666667,-0.14791666666666667,14.666666666666666,49.333333333333336
3,0.006933333333333337,0.07050000000000001,0.09933333333333332,-0.18391666666666664,15.5,47.083333333333336
4,-0.03123333333333333,-0.05116666666666666,-0.05316666666666662,-0.20176666666666665,16.333333333333332,42.25
5,0.19266666666666665,0.7813333333333333,1.4398333333333333,-0.1384,14.666666666666666,50.083333333333336
6,0.058166666666666665,0.42849999999999994,0.5885,-0.1602,15.5,48.333333333333336
7,0.16631666666666667,0.7075,1.0831666666666666,-0.13588333333333333,14.166666666666666,54.166666666666664
8,0.019283333333333333,0.14633333333333334,0.2838333333333333,-0.16169999999999998,14.5,54.166666666666664
9,0.1287,0.5601666666666667,0.9658333333333333,-0.17445,14.5,53.833333333333336
10,0.0719,0.3921666666666666,0.6251666666666668,-0.15946666666666667,14.833333333333334,51.916666666666664
11,0.11668333333333332,0.6398333333333334,1.0148333333333333,-0.12855,15.0,50.916666666666664
12,0.17921666666666666,0.9625,1.53,-0.12691666666666665,14.666666666666666,46.5
13,0.049183333333333336,0.18233333333333338,0.3005,-0.14356666666666668,15.166666666666666,49.0
14,0.12041666666666666,0.5409999999999999,0.9845,-0.14403333333333332,15.0,49.0
15,0.1085,0.6204999999999999,0.9183333333333333,-0.12241666666666667,14.5,54.083333333333336
16,-0.04408333333333333,-0.19566666666666666,-0.2745,-0.20093333333333332,15.833333333333334,48.333333333333336
17,0.13181666666666667,0.5718333333333333,0.9954999999999999,-0.15018333333333334,15.166666666666666,48.916666666666664
18,0.11476666666666667,0.5838333333333333,1.0605,-0.15485000000000002,15.333333333333334,51.083333333333336
19,0.1013,0.43766666666666665,0.7131666666666666,-0.16555,15.0,51.666666666666664
20,0.028866666666666676,0.005333333333333301,0.1456666666666667,-0.18910000000000002,15.5,46.5
21,-0.062366666666666674,-0.21383333333333332,-0.2203333333333333,-0.17451666666666665,16.166666666666668,46.0
22,0.19491666666666665,0.7188333333333333,1.2785,-0.1356,14.333333333333334,55.75
23,0.003349999999999999,0.08066666666666668,0.10566666666666673,-0.17384999999999998,16.0,45.083333333333336
24,0.07740000000000001,0.37916666666666665,0.582,-0.1554,15.0,48.166666666666664
25,0.04121666666666666,0.23550000000000001,0.37833333333333335,-0.14770000000000003,14.333333333333334,48.333333333333336
26,-0.0263,-0.0395,-0.05033333333333334,-0.16918333333333335,15.166666666666666,49.833333333333336
27,0.04303333333333333,0.2501666666666667,0.3941666666666667,-0.16849999999999998,15.166666666666666,51.833333333333336
28,-0.09503333333333334,-0.5253333333333333,-0.7450000000000001,-0.22771666666666668,16.833333333333332,40.916666666666664
29,0.1688333333333333,0.9003333333333333,1.4263333333333332,-0.12453333333333333,14.166666666666666,54.166666666666664
30,0.11928333333333334,0.4426666666666667,0.8151666666666667,-0.16548333333333334,15.166666666666666,45.0
31,0.12715,0.6398333333333334,1.0653333333333335,-0.15111666666666668,14.5,54.166666666666664
32,0.04388333333333333,0.3416666666666666,0.5328333333333334,-0.15325,15.0,49.5
33,0.05753333333333333,0.298,0.5148333333333334,-0.15573333333333333,16.0,44.833333333333336
34,-0.08128333333333333,-0.45649999999999996,-0.5651666666666667,-0.2293333333333333,17.0,39.166666666666664
35,0.062233333333333335,0.2728333333333333,0.47150000000000003,-0.15598333333333333,14.666666666666666,49.916666666666664
36,-0.04355,-0.14966666666666664,-0.2673333333333333,-0.17149999999999999,14.833333333333334,49.666666666666664
37,0.13876666666666668,0.7726666666666667,1.2481666666666666,-0.14258333333333334,14.0,53.5
38,0.1114,0.30516666666666664,0.7243333333333334,-0.15601666666666666,14.666666666666666,51.25
39,0.02186666666666667,0.19583333333333333,0.28933333333333333,-0.17926666666666669,15.166666666666666,51.583333333333336
40,-0.07243333333333334,-0.3353333333333333,-0.45849999999999996,-0.19168333333333334,15.0,50.5
41,0.09588333333333332,0.5555,0.836,-0.14604999999999999,15.0,51.916666666666664
42,-0.0010166666666666657,0.03166666666666664,0.0030000000000000395,-0.16668333333333332,15.833333333333334,48.666666666666664
43,0.10121666666666668,0.4705,0.9615,-0.17998333333333336,15.666666666666666,48.083333333333336
44,0.13015,0.553,0.8281666666666667,-0.13948333333333332,15.666666666666666,44.333333333333336
45,0.07223333333333333,0.3011666666666667,0.5873333333333334,-0.16685000000000003,14.333333333333334,54.083333333333336
46,0.08976666666666666,0.3575,0.7193333333333333,-0.17203333333333334,14.833333333333334,47.416666666666664
47,0.11146666666666667,0.7046666666666667,1.0815000000000001,-0.1495,14.5,52.416666666666664
48,0.10381666666666667,0.5333333333333333,0.8996666666666666,-0.16108333333333333,16.166666666666668,44.333333333333336
49,0.09055,0.5311666666666667,0.7846666666666667,-0.1477,14.666666666666666,55.166666666666664
50,0.04106666666666667,0.19466666666666668,0.4141666666666666,-0.18328333333333333,15.0,52.25
51,0.07606666666666667,0.3313333333333333,0.5826666666666667,-0.148,15.5,49.416666666666664
52,0.1332,0.7438333333333333,1.1371666666666667,-0.14054999999999998,14.166666666666666,53.416666666666664
53,0.04736666666666666,0.24133333333333332,0.40599999999999997,-0.18513333333333334,15.5,48.333333333333336
54,0.13441666666666666,0.48466666666666675,0.9361666666666667,-0.15685000000000002,14.333333333333334,52.75
55,0.15525,0.6313333333333332,1.1411666666666667,-0.14323333333333335,13.666666666666666,55.833333333333336
56,0.11975000000000001,0.502,0.7843333333333334,-0.16345,15.333333333333334,49.916666666666664
57,0.0327,0.2333333333333333,0.3515,-0.2031666666666667,15.666666666666666,45.75
58,-0.0383,-0.15966666666666665,-0.19683333333333333,-0.1810166666666667,15.833333333333334,47.166666666666664
59,0.09973333333333334,0.30833333333333335,0.5936666666666667,-0.16506666666666667,15.333333333333334,48.916666666666664
60,0.10964999999999998,0.5791666666666667,0.8446666666666666,-0.14181666666666667,13.666666666666666,52.166666666666664
61,0.10281666666666667,0.5883333333333334,0.8701666666666666,-0.129,14.333333333333334,54.666666666666664
62,-0.034083333333333334,-0.10833333333333334,-0.13933333333333334,-0.18025000000000002,14.833333333333334,50.666666666666664
63,-0.03696666666666667,-0.16066666666666665,-0.2021666666666667,-0.21235,17.0,38.583333333333336
64,0.06620000000000001,0.4383333333333333,0.6223333333333333,-0.1482,14.5,51.25
65,0.06836666666666667,0.4573333333333333,0.6433333333333333,-0.12986666666666666,15.0,51.083333333333336
66,-0.034833333333333334,-0.16116666666666665,-0.2295,-0.18128333333333335,15.333333333333334,48.833333333333336
67,0.030266666666666664,0.06700000000000002,0.20299999999999999,-0.1898,16.833333333333332,39.416666666666664
68,0.17616666666666667,0.6618333333333334,1.1308333333333331,-0.16168333333333332,15.666666666666666,47.333333333333336
69,0.09818333333333334,0.38866666666666666,0.6173333333333334,-0.18038333333333334,15.0,45.5
70,0.10358333333333332,0.5861666666666666,0.9944999999999999,-0.14266666666666666,16.166666666666668,43.666666666666664
71,0.06935,0.433,0.7010000000000001,-0.16016666666666665,14.666666666666666,50.166666666666664
72,0.03891666666666666,0.262,0.36366666666666664,-0.15453333333333333,15.666666666666666,43.166666666666664
73,0.09465,0.31316666666666665,0.603,-0.15415,14.833333333333334,50.333333333333336
74,0.20871666666666666,0.6605,1.3361666666666665,-0.16311666666666666,14.666666666666666,51.666666666666664
75,0.21384999999999998,0.7134999999999999,1.264,-0.16161666666666666,14.833333333333334,49.833333333333336
76,-0.023133333333333336,-0.15616666666666665,-0.22783333333333333,-0.18821666666666667,16.0,45.083333333333336
77,0.0012833333333333308,-0.012166666666666659,0.05900000000000002,-0.1694,15.333333333333334,48.916666666666664
78,0.16126666666666667,0.6145,1.1841666666666666,-0.15563333333333335,14.666666666666666,45.833333333333336
79,0.09478333333333333,0.5086666666666667,0.7073333333333333,-0.15675,14.0,54.916666666666664
80,0.10756666666666666,0.5186666666666667,0.7960000000000002,-0.1527,14.166666666666666,52.5
81,0.17446666666666666,0.5398333333333333,1.0241666666666667,-0.15838333333333335,15.0,51.25
82,0.13999999999999999,0.5801666666666667,0.969,-0.14871666666666666,14.166666666666666,52.25
83,0.020000000000000004,0.028500000000000025,0.11866666666666674,-0.1765,16.0,46.666666666666664
84,0.06733333333333334,0.3621666666666667,0.6111666666666666,-0.17765,14.666666666666666,53.416666666666664
85,0.04644999999999999,0.05299999999999997,0.26166666666666666,-0.17608333333333334,16.0,45.5
86,0.14636666666666667,0.735,1.1535,-0.1358,13.0,55.333333333333336
87,0.06626666666666668,0.36200000000000004,0.5678333333333333,-0.15158333333333332,14.5,55.75
88,0.08416666666666667,0.44216666666666665,0.765,-0.1531,14.5,51.166666666666664
89,0.15296666666666667,0.7718333333333334,1.3276666666666668,-0.12805,14.333333333333334,51.0
90,0.09183333333333334,0.535,0.9155000000000001,-0.15475,15.166666666666666,46.416666666666664
91,0.09068333333333334,0.34883333333333333,0.42616666666666664,-0.1638,14.833333333333334,55.0
92,0.010683333333333328,0.024500000000000004,0.08683333333333326,-0.17396666666666669,16.166666666666668,43.75
93,0.010466666666666666,0.02099999999999999,0.09600000000000002,-0.18151666666666666,15.666666666666666,47.333333333333336
94,-0.013733333333333334,-0.07416666666666664,-0.07233333333333332,-0.18488333333333332,16.0,51.083333333333336
95,0.046533333333333336,0.24950000000000003,0.49099999999999994,-0.14261666666666667,15.333333333333334,48.916666666666664
96,0.10023333333333334,0.6545,1.058,-0.13233333333333333,14.333333333333334,51.25
97,0.13351666666666667,0.5665,0.9596666666666667,-0.15814999999999999,14.166666666666666,52.416666666666664
98,0.10004999999999999,0.32783333333333337,0.7098333333333334,-0.16245,15.333333333333334,53.333333333333336
99,0.0443,0.221,0.4443333333333333,-0.1361,14.5,51.583333333333336
100,0.20266666666666666,0.7721666666666667,1.39,-0.15033333333333332,13.833333333333334,52.833333333333336
101,0.11828333333333334,0.3865,0.6725,-0.14955,14.666666666666666,48.0
102,-0.06923333333333333,-0.3353333333333333,-0.4215,-0.1933666666666667,16.833333333333332,40.25
103,0.09511666666666667,0.387,0.6204999999999999,-0.18443333333333334,15.666666666666666,51.166666666666664
104,0.010716666666666668,0.11533333333333333,0.20300000000000004,-0.18103333333333335,15.5,48.583333333333336
105,0.05846666666666667,0.3411666666666666,0.5945,-0.14706666666666665,15.166666666666666,50.416666666666664
