market,terminal_equity,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,trades,median_hold,ablation_variant
Brazil,78520.0,-0.2148,-0.981,-1.456,-0.2661,22,32.0,"P3: Raw-Feature kNN Baseline (23-d, no metric learning)"
China,119190.0,0.1919,0.87,1.404,-0.1681,19,34.2,"P3: Raw-Feature kNN Baseline (23-d, no metric learning)"
France,96620.0,-0.0338,-0.011,-0.028,-0.2684,20,37.7,"P3: Raw-Feature kNN Baseline (23-d, no metric learning)"
India,122250.0,0.2225,1.455,2.121,-0.0819,14,63.0,"P3: Raw-Feature kNN Baseline (23-d, no metric learning)"
UK,78790.0,-0.2121,-1.179,-1.757,-0.2409,20,35.8,"P3: Raw-Feature kNN Baseline (23-d, no metric learning)"
US,117060.0,0.1706,0.968,1.368,-0.1536,19,41.3,"P3: Raw-Feature kNN Baseline (23-d, no metric learning)"
