system,market,seed,condition,replication_id,rank_spearman_rho,rank_kendall_tau,top1_hit_agreement,top3_set_overlap
P0,US,7,Same-Date Cross-Candidate Bundle Swap,1,0.6666666666666666,0.6296296296296297,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,1,0.3888888888888889,0.3703703703703704,0.4444444444444444,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,2,0.6666666666666666,0.6296296296296297,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,2,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,3,0.6666666666666666,0.6296296296296297,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,3,0.16666666666666666,0.14814814814814817,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,4,0.6666666666666666,0.6296296296296297,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,4,0.3333333333333333,0.29629629629629634,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,5,0.6666666666666666,0.6296296296296297,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,5,1.2335811384723961e-17,0.0,0.2222222222222222,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,6,0.5555555555555556,0.5555555555555556,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,6,0.3888888888888889,0.3703703703703704,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,7,0.6111111111111112,0.5555555555555556,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,7,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,8,0.5,0.48148148148148157,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,8,0.3888888888888889,0.3703703703703704,0.4444444444444444,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,9,0.3888888888888889,0.40740740740740744,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,9,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,10,0.5,0.48148148148148157,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,10,0.2777777777777778,0.2962962962962963,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,11,0.6666666666666666,0.6296296296296297,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,11,0.055555555555555566,0.07407407407407406,0.2222222222222222,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,12,0.6111111111111112,0.5555555555555556,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,12,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,13,0.5555555555555556,0.5555555555555556,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,13,0.3333333333333333,0.29629629629629634,0.4444444444444444,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,14,0.5,0.48148148148148157,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,14,0.1111111111111111,0.14814814814814814,0.2222222222222222,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,15,0.6111111111111112,0.5555555555555556,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,15,0.3888888888888889,0.3703703703703704,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,16,0.5555555555555556,0.5555555555555556,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,16,0.2777777777777778,0.2962962962962963,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,17,0.5,0.48148148148148157,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,17,0.16666666666666666,0.14814814814814817,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,18,0.5555555555555556,0.5555555555555556,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,18,0.3333333333333333,0.29629629629629634,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,19,0.3888888888888889,0.40740740740740744,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,19,0.16666666666666666,0.14814814814814817,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,20,0.5,0.48148148148148157,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,20,0.3888888888888889,0.3703703703703704,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,21,0.6666666666666666,0.6296296296296297,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,21,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,22,0.5555555555555556,0.5555555555555556,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,22,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,23,0.4444444444444444,0.48148148148148145,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,23,0.3888888888888889,0.3703703703703704,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,24,0.5555555555555556,0.5555555555555556,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,24,0.3333333333333333,0.29629629629629634,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,25,0.3888888888888889,0.40740740740740744,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,25,0.2777777777777778,0.2962962962962963,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,26,0.6666666666666666,0.6296296296296297,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,26,0.3888888888888889,0.3703703703703704,0.4444444444444444,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,27,0.5,0.48148148148148157,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,27,0.3888888888888889,0.3703703703703704,0.4444444444444444,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,28,0.3888888888888889,0.40740740740740744,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,28,0.3888888888888889,0.3703703703703704,0.4444444444444444,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,29,0.6666666666666666,0.6296296296296297,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,29,0.1111111111111111,0.07407407407407408,0.2222222222222222,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,30,0.5555555555555556,0.5555555555555556,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,30,0.2777777777777778,0.2962962962962963,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,31,0.5555555555555556,0.5555555555555556,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,31,0.3888888888888889,0.3703703703703704,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,32,0.5,0.48148148148148157,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,32,0.3333333333333333,0.29629629629629634,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,33,0.4444444444444444,0.48148148148148145,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,33,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,34,0.6111111111111112,0.5555555555555556,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,34,0.055555555555555546,0.07407407407407406,0.2222222222222222,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,35,0.5,0.48148148148148157,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,35,0.3888888888888889,0.3703703703703704,0.4444444444444444,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,36,0.6111111111111112,0.5555555555555556,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,36,0.3888888888888889,0.3703703703703704,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,37,0.5555555555555556,0.5555555555555556,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,37,0.16666666666666666,0.14814814814814817,0.2222222222222222,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,38,0.6666666666666666,0.6296296296296297,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,38,0.16666666666666666,0.14814814814814817,0.2222222222222222,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,39,0.6666666666666666,0.6296296296296297,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,39,0.16666666666666666,0.14814814814814817,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,40,0.5,0.48148148148148157,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,40,0.16666666666666666,0.14814814814814817,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,41,0.3888888888888889,0.40740740740740744,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,41,0.055555555555555546,0.07407407407407407,0.2222222222222222,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,42,0.3888888888888889,0.40740740740740744,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,42,0.3888888888888889,0.3703703703703704,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,43,0.6666666666666666,0.6296296296296297,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,43,0.3333333333333333,0.29629629629629634,0.2222222222222222,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,44,0.3888888888888889,0.40740740740740744,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,44,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,45,0.6111111111111112,0.5555555555555556,0.7777777777777778,1.0
