system,nominal_ann_return,fully_liquidated_equity,terminal_net_return,sharpe
P0,+1.05%,100987.95,+0.99%,0.155
P0*,+3.75%,103692.68,+3.69%,0.275
P1,+3.59%,103530.5,+3.53%,0.272
P2,+2.17%,102112.82,+2.11%,0.201
P3,+2.16%,102083.57,+2.08%,0.192
P4,+4.96%,104941.67,+4.94%,0.218
P5,+6.65%,106626.42,+6.63%,0.384
P6,+6.68%,106631.81,+6.63%,0.38
