system,min_hold,p10,p25,median_p50,mean_hold,p75,p90,max_hold,total_trades
P0*,5,12.0,24.0,39.0,40.0,63.0,63.0,63,330
P0,4,12.0,23.0,38.0,39.4,63.0,63.0,63,335
P1,4,11.6,23.0,38.0,39.2,63.0,63.0,63,337
P2,4,11.4,22.5,38.0,39.4,63.0,63.0,63,335
P4,2,11.0,19.0,40.5,38.1,63.0,63.0,63,342
