system,P0,P0*,P1,P2,P3,P4,P6
P0,1.0,0.96,0.96,1.0,0.679,0.454,0.624
P0*,0.96,1.0,1.0,0.96,0.674,0.431,0.587
P1,0.96,1.0,1.0,0.96,0.674,0.431,0.587
P2,1.0,0.96,0.96,1.0,0.679,0.454,0.624
P3,0.679,0.674,0.674,0.679,1.0,0.407,0.645
P4,0.454,0.431,0.431,0.454,0.407,1.0,0.703
P6,0.624,0.587,0.587,0.624,0.645,0.703,1.0
