date,open,high,low,close,volume
2023-01-01,100,105,95,102,10000
2023-01-02,102,106,100,103,12000
2023-01-03,103,108,102,105,11000
2023-01-04,105,107,104,106,10500
2023-01-05,106,110,105,108,13000
