draw_id,delta_sharpe_L5,sharpe_P0*_L5,sharpe_P1_L5,delta_sharpe_L10,sharpe_P0*_L10,sharpe_P1_L10,delta_sharpe_L21,sharpe_P0*_L21,sharpe_P1_L21,delta_sharpe_L63,sharpe_P0*_L63,sharpe_P1_L63
0,-0.11408748247095296,0.2530019213333172,0.3670894038042702,0.03343553992293541,0.30154544982097853,0.2681099098980431,-0.0765354572897852,0.12846125517526252,0.20499671246504772,-0.06981124827162166,0.28499857441049004,0.3548098226821117
1,-0.14651072188535708,0.3647233107955714,0.5112340326809285,0.11604836163393265,0.36302292712047907,0.24697456548654642,-0.01831111576720873,0.4415368109837857,0.45984792675099445,-0.06914768469730787,0.2433484113260982,0.31249609602340606
2,0.1471946691168356,0.5136305360786193,0.3664358669617837,-0.06755076438058262,-0.11953604920913673,-0.05198528482855411,-0.05833769080962825,0.5042042378721684,0.5625419286817966,-0.14216622667102025,0.11100813115333164,0.2531743578243519
3,-0.008627182816544197,0.05386866527797633,0.06249584809452053,0.20864770380000103,0.3250816484334104,0.11643394463340939,-0.034352101721552564,0.4026788247146696,0.43703092643622216,0.07918035177804972,0.35480255830566604,0.2756222065276163
4,0.061730566313223365,0.17578254817604697,0.1140519818628236,0.15283000885115242,0.22540425709570708,0.07257424824455466,0.0561563554540393,0.6805462247445159,0.6243898692904766,-0.12078220167824016,0.5815253543240677,0.7023075560023079
5,0.18310338353826006,0.6978334117328543,0.5147300281945942,0.09914415162928591,0.7018728277079277,0.6027286760786418,-0.07272552368578103,0.06320101421212321,0.13592653789790424,0.030099362113632566,0.3779297515173803,0.3478303894037477
6,0.009614637129292058,0.39765028702602134,0.3880356498967293,-0.06497081798086005,0.08301717523069305,0.1479879932115531,0.02386597496859677,0.7833997455841376,0.7595337706155408,-0.1009967450716116,0.3396699441991411,0.4406666892707527
7,0.04746790915927912,0.44893208942223123,0.4014641802629521,0.1185206180986638,0.13382699268036838,0.015306374581704583,-0.11987953965466647,0.27291870861659767,0.39279824827126414,-0.06408445814829744,0.4301513040501427,0.4942357621984401
8,0.19942100301827928,0.25575730635046057,0.05633630333218128,0.06596079738129457,0.21642873362214818,0.1504679362408536,0.2569777141367475,0.6339778721064537,0.3770001579697062,0.021698230125305917,0.6504570946510579,0.628758864525752
9,-0.030593913699728192,0.5539326593188033,0.5845265730185315,0.09960140704691567,0.26970748078428813,0.17010607373737247,-0.0115296155908782,0.24188277828816637,0.2534123938790446,-0.08403057570548084,0.32819104499471696,0.4122216207001978
10,0.1435292529225034,-0.022399966426073965,-0.16592921934857738,-0.04147934460319713,-0.4275922798457355,-0.38611293524253837,-0.024121266439868783,0.5207860820852402,0.544907348525109,-0.08346252646593794,0.22426198066362957,0.3077245071295675
11,0.09813291947181875,-0.010573622971493848,-0.1087065424433126,0.07905431918661987,0.5862131218957358,0.507158802709116,-0.06993050964798578,0.2158857998541404,0.28581630950212616,-0.08214180931966675,0.1933831303643081,0.27552493968397485
12,-0.005320575778358455,-0.1497253463168657,-0.14440477053850725,-0.03369530894532213,0.4720867274533125,0.5057820363986346,0.018685301606870375,0.3444005957877347,0.3257152941808643,0.00161640986184039,0.20460611800865602,0.20298970814681563
13,0.12210628349148284,0.5994995592471897,0.47739327575570684,0.08169392753591392,0.275070144946966,0.1933762174110521,-0.08685939622111966,0.1678842704838303,0.25474366670494997,-0.09983549651122894,0.11350405334317223,0.21333954985440118
14,0.0018582371480717341,0.10302601016171495,0.10116777301364321,0.014908197553600677,0.3597120418855301,0.3448038443319294,-0.04405196676914708,0.39111623568213516,0.43516820245128224,-0.1064715660814412,0.3198763732423403,0.4263479393237815
15,-0.047729579814499205,-0.009298134436925239,0.03843144537757397,0.06134162414434778,0.12048060585163105,0.05913898170728327,-0.12974918140354463,0.7116110290955149,0.8413602104990595,-0.09949337762039245,0.33896597962836883,0.4384593572487613
16,0.04382580710567918,0.5655230289637873,0.5216972218581081,-0.09909671767003521,-0.12936164569886838,-0.030264928028833172,-0.057924053033350964,0.43060641072058176,0.4885304637539327,0.01875907368013563,0.5235411912832987,0.504782117603163
17,0.07300522326403086,0.508267393501748,0.4352621702377171,-0.05967801289409537,0.07726011810529397,0.13693813099938934,0.007374736764938605,0.32791358481289135,0.32053884804795274,-0.14885004030879623,0.527107707250166,0.6759577475589622
18,-0.005187330911298804,0.35582369669531294,0.36101102760661175,0.07206582639811657,0.31226299104785454,0.24019716464973798,-0.07966918859620654,0.045515619065135085,0.12518480766134163,-0.029171265637560978,0.19150528558412558,0.22067655122168656
19,0.09173176613634815,0.6867353934778693,0.5950036273415211,0.03177076351165382,-0.0006725816283105889,-0.03244334513996441,-0.1815539313824961,0.5124551012295039,0.694009032612,-0.015185027280776253,0.3802706644370908,0.39545569171786704
20,-0.10077823064273794,-0.04823785521124505,0.0525403754314929,-0.0042763002370931336,0.2463299087427508,0.2506062089798439,0.004022263335258569,0.33884878875296914,0.3348265254177106,-0.08946794711426204,0.4873571064360183,0.5768250535502804
